Balance of Payments by Indicator (BPM6),,,,,,,,,,,
Percent of GDP,,,,,,,,,,,
,,,,,,,,,,,
,2009,2010,2011,2012,2013,2014,2015,2016,,,
Grenada,46.80,49.23,50.79,49.47,50.23,58.90,57.46,...,,,
Montserrat,73.51,76.85,74.83,81.55,91.07,95.91,99.23,...,,,
St. Kitts and Nevis,50.63,51.64,48.02,47.29,47.87,58.74,59.15,...,,,
St. Lucia,54.87,63.41,63.74,58.24,51.90,61.20,58.14,...,,,
St. Vincent & Grenadines,57.50,57.13,55.70,58.03,58.90,60.53,55.77,...,,,
Argentina,14.77,16.13,16.68,14.34,14.72,14.18,12.02,13.60,,,
Aruba,125.88,84.03,261.57,113.28,87.75,84.91,78.94,...,,,
"Bahamas, The",47.72,47.70,53.97,58.62,56.26,58.86,47.80,...,,,
Barbados,49.78,56.04,51.79,50.84,54.62,...,...,...,,,
Belize,58.51,57.95,63.85,65.14,67.16,67.40,67.87,...,,,
Bermuda,34.24,33.66,31.33,31.73,33.73,34.50,33.08,...,,,
Bolivia,29.73,31.33,36.63,36.62,36.08,39.14,35.88,31.73,,,
Brazil,10.48,11.03,11.54,12.33,13.17,12.98,13.48,11.32,,,
Chile,29.13,31.03,34.11,33.79,32.44,31.81,29.59,27.52,,,
Colombia,16.85,16.74,18.86,18.73,18.53,20.07,22.04,19.26,,,
Costa Rica,34.95,34.69,36.15,35.49,33.79,34.25,31.26,31.55,,,
Curacao,...,...,...,...,...,...,...,...,,,
Dominican Republic,24.55,33.50,34.98,34.01,31.57,31.03,29.49,29.10,,,
Ecuador,27.01,32.54,33.47,31.52,31.21,29.90,23.69,...,,,
El Salvador,35.88,40.13,44.09,44.08,45.58,43.57,41.90,39.35,,,
Guatemala,33.85,36.80,37.74,36.48,35.50,34.21,30.63,27.33,,,
Guyana,71.67,78.03,85.55,88.49,79.52,72.06,54.89,...,,,
Haiti,43.13,63.92,59.32,53.65,52.97,54.78,53.75,...,,,
Honduras,46.68,49.09,55.36,55.43,54.45,52.10,49.78,46.25,,,
Jamaica,52.44,48.82,54.20,52.77,52.65,53.62,46.35,...,,,
Mexico,29.11,31.31,32.72,33.98,32.87,33.58,37.30,40.21,,,
Netherlands Antilles,...,...,...,...,...,...,...,...,,,
Nicaragua,52.96,59.78,66.76,67.67,65.60,61.65,58.25,56.93,,,
Panama,65.99,74.34,87.17,80.52,70.53,62.49,52.38,...,,,
Paraguay,44.84,51.34,50.31,48.55,44.64,42.28,41.25,39.47,,,
Peru,21.20,23.34,25.01,24.76,24.62,24.15,23.91,22.48,,,
Sint Maarten,...,...,...,...,...,...,...,...,,,
Suriname,43.06,38.09,50.69,52.00,52.86,52.83,54.97,...,,,
Trinidad and Tobago,38.31,33.39,46.97,49.36,43.74,38.03,41.97,...,,,
Uruguay,25.87,25.04,26.59,32.36,29.92,29.25,26.05,22.42,,,
"Venezuela, Rep. Bol.",16.68,14.23,21.94,22.38,20.58,13.32,4.91,1.01,,,
